"feature_desciption","var","value","data_type"
"count per month of claims related to chronic pulmonary disease in the past one year {Based on Charlson Comorbidity Index Categories}","cci_cpd_pmpm_ct",8.04471917423326e-05,"float"
"claim lines per month for a revenue code related to cardiology in the past one year","rev_pm_card_pmpm_cd_ct",7.9855668273639e-05,"float"
"visits per month for overall claims related to emergency room in the past one year","total_er_visit_ct_pmpm",7.63065274614774e-05,"double"
"claims per month related to diseases of the musculoskeletal system and connective tissue : spondylopathies in the past one year {based on CMS diagnosis code level2}","cmsd2_mus_spondylopath_pmpm_ct",7.39404335867028e-05,"float"
"claim lines per month for a revenue code related to anesthesiology in the past one year","rev_pm_ansth_pmpm_cd_ct",7.39404335867027e-05,"float"
"claims per month related to diseases of the respiratory system : other diseases of upper respiratory tract in the past one year {based on CMS diagnosis code level2}","cmsd2_res_res_up_other_pmpm_ct",7.09828162432347e-05,"float"
"claims per month related to certain infectious and parasitic diseases in the past one year {based on CMS diagnosis code level1}","cmsd1_inf_pmpm_ct",6.92082458371538e-05,"float"
"count per month of member interactions via print with a lag of _2 from the score date in the past one year","cnt_cp_print_2",5.9743870338056e-05,"integer"
"claim lines per month for a revenue code related to other diagnostic services in the past one year","rev_pm_xdiag_pmpm_cd_ct",5.02794948389582e-05,"float"
"visits per month for overall claims related to ambulance place of treatment in the past one year","total_ambulance_visit_ct_pmpm",4.73218774954902e-05,"double"
"claims per month related to diseases of the genitourinary system : other diseases of the urinary system in the past one year {based on CMS diagnosis code level2}","cmsd2_gus_urinary_other_pmpm_ct",4.5547307089409e-05,"float"
"visits per month for overall claims related to urgent care in the past one year","total_urgent_care_visit_ct_pmpm",4.19981662772475e-05,"double"
"Preferred language for member","lang_spoken_cd",2.66185560912133e-05,"string"
"admits per month for overall claims related to acute inpatient facilities in the past one year","total_ip_acute_admit_ct_pmpm",2.60270326225197e-05,"double"
"claim lines per month for a revenue code related to recovery room in the past one year","rev_pm_recrm_pmpm_cd_ct",2.42524622164387e-05,"float"
"claim lines per month for a revenue code related to medical/surgical supplies and devices in the past one year","rev_pm_mssd_pmpm_cd_ct",2.30694152790515e-05,"float"
NA,"cmsd2_dig_esoph_stomach_pmpm_ct",1.24219928425662e-05,NA
NA,"metro",0,NA
"claim lines per month for a revenue code related to operating room in the past one year","rev_pm_oroom_pmpm_cd_ct",-5.32371121824235e-06,"float"
"Binary indicator that a Medicare Supplement member is under age 65","cms_disabled_ind",-2.78016030286002e-05,"integer"
